"|","|__acc","|__gyro"
01:28:56,96.63702721642584,541.8949077863234
01:28:57,120.45239511842556,19.131298805955343
01:28:58,126.8328401363924,18.462528929419022
01:28:59,,29526.87542640593
01:29:00,103.74092868501295,221310.98571079216
01:29:01,93.04689331834015,
01:29:02,95.55585410070215,582.8858337433853
01:29:03,90.50659051903222,
01:29:04,85.85854126274899,14329.185878376313
01:29:05,106.80625034653805,
01:29:06,116.42393480806187,478.87096408454954
01:29:07,75.46031905688959,8.777104591747047
01:29:08,98.61900981150849,177.35576435595158
01:33:22,95.59285701578983,526.8607949664379
01:33:23,102.85370136020448,2.9773206077125
01:33:24,97.18863666121796,5785.459398052155
01:33:25,97.83993772385837,2069.2160046255894
01:33:26,95.71777204500633,10.921626257991193
01:33:27,,5.004386235634229
01:33:28,193.64776017916301,78385.7398362763
