|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:06:07 643922,-7,-4,5.6,-0.1,0.2,0.1,94,9.816312953,0.244948974,0.678232998,0.173205081,0
20:06:08 215505,-7.1,-4.3,5,0,0.1,0,94,9.690201236,0.1,0.316227766,0,0
20:06:08 777866,-7,-4.3,5.3,0,0.1,0,94,9.776502442,0.1,0.173205081,0.2,0
20:06:09 561173,-6.9,-4.2,5.4,0,-0.1,0,94,9.716480844,0.1,0.173205081,0,0
20:06:09 739804,-7,-4.3,5.3,0,-0.1,0,94,9.776502442,0.1,0.2,0.1,0
20:06:10 372358,-7,-4.1,5.3,0,0,0,94,9.690201236,0,0.1,0,0
20:06:10 933143,-7,-4.1,5.4,0,0,0,96,9.745255256,0,10.70513895,0.141421356,0
20:06:11 443242,-6.6,5.9,9.2,-0.1,0,0.1,96,12.76753696,0.141421356,9.650388593,0,0
20:06:12 101696,-2.6,-2.8,8,-0.1,0,0.1,97,8.865664104,0.141421356,5.566866264,1.95192213,1
20:06:12 644339,-7.5,-4.1,5.7,1.5,-0.2,1.2,97,10.27375297,1.931320792,3.021588986,1.931320792,0
20:06:13 036001,-7.7,-1.1,6,0,0,0,97,9.823441352,0,0.374165739,0,0
20:06:13 613670,-7.5,-1.4,6.1,0,0,0,97,9.768316129,0,0.1,0,0
20:06:14 403822,-7.5,-1.3,6.1,0,0,0,97,9.754486147,0,0.141421356,0,0
20:06:14 673211,-7.6,-1.2,6.1,0,0,0,97,9.818859404,0,0.244948974,0,0
20:06:15 358492,-7.5,-1.3,6.3,0,0,0,97,9.880789442,0,0.141421356,0,0
20:06:15 944234,-7.5,-1.2,6.2,0,0,0,97,9.804590761,0,0.374165739,0.1,0
20:06:16 302712,-7.4,-0.9,6.4,-0.1,0,0,97,9.824968193,0.1,62.27575772,0,0
20:06:17 121888,33.1,-15.8,-38.5,-0.1,0,0,97,53.17424188,0.1,62.30698195,8.026207074,1
20:06:17 304492,-5.7,-4.4,8.9,-1,-6.9,4,97,11.44814395,8.038034586,4.536518489,8.134494453,1
20:06:18 016975,-7.3,-1.5,5.8,-0.4,0.1,-0.1,97,9.443516294,0.424264069,0.538516481,0,0
20:06:18 636673,-7.5,-1.5,6.3,-0.4,0.1,-0.1,97,9.909086739,0.424264069,0.670820393,0.547722558,0
20:06:19 280323,-7,-1.1,6.5,0.1,0,0.1,97,9.615612305,0.141421356,0.3,0,0
20:06:19 512017,-7.2,-1.3,6.6,0.1,0,0.1,97,9.8534258,0.141421356,0.223606798,0.173205081,0
20:06:20 146082,-7,-1.3,6.7,0,-0.1,0,97,9.776502442,0.1,0.374165739,0,0
20:06:20 723240,-6.8,-1.2,7,0,-0.1,0,95,9.832598843,0.1,42.72294466,1.984943324,0
20:06:21 354435,32.2,-18.4,4.1,0.5,-1.3,-1.5,95,37.3123304,2.046948949,42.00309512,0,1
20:06:21 878193,-5.9,-1.5,9.3,0.5,-1.3,-1.5,92,11.11530476,2.046948949,2.805352028,2.647640459,1
20:06:22 798237,-6.8,-2.4,6.8,-0.7,0.6,-0.1,92,9.911609355,0.92736185,0.223606798,0,0
