"|","|__acc","|__acc-x","|__acc-y","|__acc-z","|__gyro","|__gyro-x","|__gyro-y","|__gyro-z"
"14:36:04 068004","96.51718292069108","2.0494985580444336","1.1121397018432617","9.543578147888184","","","",""
"14:36:04 133829","","","","","1.13476653496036E-05","-0.0010652542114257812","0","-0.0031957626342773438"
"14:36:04 191676","98.97293412529234","2.0423154830932617","1.1731939315795898","9.66568660736084","","","",""
"14:36:04 391142","","","","","0.000100994221611472","-0.00852203369140625","0","0.005326271057128906"
"14:36:04 579151","97.1429208571526","1.9848527908325195","1.011580467224121","9.601040840148926","","","",""
"14:36:04 631028","","","","","0.000668426253469079","-0.025567054748535156","-0.0021305084228515625","-0.0031957626342773438"
"14:36:05 711720","98.15554773396889","2.0315418243408203","0.950526237487793","9.650123596191406","","","",""
"14:36:05 749600","","","","","2.83691633740091E-05","0.004261016845703125","-0.0031957626342773438","0"
"14:36:06 608431","98.09163757163515","2.0231618881225586","1.0618600845336914","9.636955261230469","","","",""
"14:36:06 648321","","","","","0.0012551147747217328","0.033023834228515625","-0.0010652542114257812","0.012783050537109375"
"14:36:07 556860","97.0305299837828","2.0195703506469727","1.0008068084716797","9.589069366455078","","","",""
"14:36:07 591766","","","","","0.000266670135715685","-0.01597881317138672","0.0031957626342773438","-0.0010652542114257812"
"14:36:08 574418","97.62347445940486","2.0578784942626953","1.0008068084716797","9.611815452575684","","","",""
"14:36:08 613314","","","","","3.40429960488109E-05","0.005326271057128906","0.0021305084228515625","0.0010652542114257812"
"14:36:09 612705","98.15196304514484","2.1668176651000977","1.9980220794677734","9.458581924438477","","","",""
"14:36:09 692454","","","","","0.0020835532686760416","0.02769756317138672","-0.0021305084228515625","0.03621959686279297"
"14:36:10 653391","97.30040688365443","1.939361572265625","1.978867530822754","9.466961860656738","","","",""
"14:36:10 703285","","","","","0.003371598623743921","0.0031957626342773438","-0.054329872131347656","0.020239830017089844"
"14:36:31 235604","","","","","0.001962084485057858","-0.03835010528564453","0.012783050537109375","-0.01810932159423828"
"14:36:31 307412","93.53653905203373","1.9082365036010742","1.884293556213379","9.292180061340332","","","",""
"14:36:31 640950","99.01014290195053","1.7454261779785156","2.194352149963379","9.54716968536377","","","",""
"14:36:31 763633","","","","","0.000574191866689944","0.01597881317138672","0.0170440673828125","-0.005326271057128906"
"14:36:32 451781","97.88588759380673","1.6508522033691406","1.9034481048583984","9.567521095275879","","","",""
"14:36:32 732032","","","","","0.000428941750215017","-0.0170440673828125","0.011717796325683594","0.0010652542114257812"
"14:36:33 578340","97.33988202815544","1.6807804107666016","1.6783857345581055","9.57590103149414","","","",""
"14:36:33 745894","","","","","0.00099637175026146","0.019174575805664062","-0.005326271057128906","0.024501800537109375"
"14:36:34 416101","","","","","0.005257672037259908","-0.057525634765625","0.041545867919921875","0.014913558959960938"
"14:36:34 750765","97.74160950381793","1.4988155364990234","1.2581911087036133","9.690826416015625","","","",""
"14:36:35 431141","","","","","0.0046426123208220815","-0.011717796325683594","-0.03941535949707031","-0.054329872131347656"
"14:36:35 583012","98.17751361727005","1.6987371444702148","1.4078330993652344","9.659700393676758","","","",""
"14:36:36 314348","","","","","0.000383551088816603","-0.013848304748535156","-0.005326271057128906","0.012783050537109375"
"14:36:36 745434","96.74826392058003","1.763382911682129","1.1492509841918945","9.608223915100098","","","",""
"14:36:37 525107","","","","","0.000931696153202211","-0.009587287902832031","-0.00852203369140625","-0.02769756317138672"
"14:36:37 649864","97.61760130623043","1.7154970169067383","0.9972152709960938","9.678854942321777","","","",""
"14:36:38 449323","","","","","0.002131203304088558","-0.030893325805664062","-0.02769756317138672","-0.020239830017089844"
"14:36:38 834504","99.9538238176292","1.7980995178222656","0.7841243743896484","9.803357124328613","","","",""
"14:36:39 313443","94.49625058057882","2.139284133911133","0.5231485366821289","9.468158721923828","","","",""
"14:36:39 568604","","","","","0.005964645811218361","-0.02769756317138672","-0.023435592651367188","0.06817817687988281"
"14:36:40 424957","96.5317843650264","2.0746383666992188","0.7278594970703125","9.57590103149414","","","",""
"14:36:40 906977","","","","","0.0018281840657436987","-0.011717796325683594","-0.011717796325683594","-0.03941535949707031"
"14:36:41 380544","","","","","0.00018837124480342","0.0031957626342773438","-0.011717796325683594","0.0063915252685546875"
"14:36:41 858654","97.73574669506706","2.0279502868652344","0.5387115478515625","9.660898208618164","","","",""
"14:36:42 524712","","","","","0.06426316894248885","0.2247772216796875","0.11611652374267578","-0.01597881317138672"
"14:36:42 650375","95.76020856540799","1.6795835494995117","1.2498111724853516","9.559141159057617","","","",""
"14:36:43 352922","","","","","0.001735133209876949","0.03941535949707031","-0.004261016845703125","-0.012783050537109375"
