"|","|__gyro","|__gyro-x","|__gyro-y","|__gyro-z","|__acc","|__acc-x","|__acc-y","|__acc-z"
"20:11:18 409419","","","","","155.91077672980737","-6.61538028717041","-10.467768669128418","-1.6041631698608398"
"20:11:18 707359","0.8347732050615377","-0.8490409851074219","0.3068046569824219","-0.14061832427978516","","","",""
"20:11:19 352371","","","","","96.30563676166366","-3.1185426712036133","-8.989303588867188","-2.4026546478271484"
"20:11:19 488939","0.038172864612533886","-0.1789693832397461","-0.06711292266845703","-0.040480613708496094","","","",""
"20:11:20 354642","","","","","95.02664852172438","-3.1987504959106445","-8.7654390335083","-2.821652412414551"
"20:11:20 867642","0.006821416895036236","-0.045806884765625","-0.06498241424560547","-0.022370338439941406","","","",""
"20:11:21 352369","","","","","95.6885058689295","-3.058685302734375","-8.90550422668457","-2.650461196899414"
"20:11:21 787012","0.000386955388421484","0.004261016845703125","-0.0010652542114257812","0.019174575805664062","","","",""
"20:11:22 355616","","","","","145.59629240392314","3.274169921875","-3.7901363372802734","10.97774887084961"
"20:11:22 547821","3.5270569952526785","-1.841897964477539","0.24395275115966797","-0.27378082275390625","","","",""
"20:11:23 426957","","","","","93.63482926010875","-3.5016260147094727","-7.840051651000977","-4.461730003356934"
"20:11:23 731892","0.010669717024029524","-0.03728485107421875","0.04687213897705078","-0.08415794372558594","","","",""
"20:11:24 348166","","","","","97.90936723601044","-3.6955623626708984","-8.038776397705078","-4.430604934692383"
"20:11:24 653431","0.0015036367731227074","0.03728485107421875","-0.0063915252685546875","0.00852203369140625","","","",""
"20:11:25 268501","","","","","96.50583081430068","-3.7913331985473633","-7.964554786682129","-4.32405948638916"
"20:11:25 575191","0.001603498260010383","0.0063915252685546875","0.009587287902832031","-0.03835010528564453","","","",""
"20:11:26 278332","","","","","96.74395412448303","-3.6692256927490234","-7.9741315841674805","-4.437788009643555"
"20:11:26 464182","0.000829565133244614","0.026632308959960938","-0.005326271057128906","-0.009587287902832031","","","",""
"20:11:27 216007","","","","","125.87515115536007","0.1077423095703125","0.9325695037841797","11.180065155029297"
"20:11:27 583665","7.051198226761699","-2.6216955184936523","0.40161609649658203","0.12890052795410156","","","",""
"20:11:28 172601","","","","","100.21392915947308","-3.9768896102905273","-7.058320999145508","-5.880338668823242"
"20:11:28 541098","0.1342603528419204","0.3579397201538086","-0.05646038055419922","-0.054329872131347656","","","",""
"20:11:29 364605","","","","","93.47818213696337","-3.778164863586426","-7.478516578674316","-4.824462890625"
"20:11:29 554669","0.000514049240337044","-0.00852203369140625","0.010652542114257812","-0.01810932159423828","","","",""
"20:11:30 172193","","","","","92.68757504691985","-3.8440074920654297","-7.516824722290039","-4.626935005187988"
"20:11:30 615476","0.0011449794337750063","-0.019174575805664062","0.019174575805664062","-0.020239830017089844","","","",""
"20:11:31 215971","","","","","96.33508965835608","-3.7494335174560547","-7.73470401763916","-4.738268852233887"
"20:11:31 515458","0.001467305957703502","0.02769756317138672","-0.020239830017089844","0.0170440673828125","","","",""
"20:11:32 333472","","","","","93.3506746097537","0.16520404815673828","3.313675880432129","9.074300765991211"
"20:11:32 415483","0.05155170417401678","-0.15446758270263672","-0.10120296478271484","-0.1320962905883789","","","",""
"20:11:33 155405","","","","","110.51402232320288","-8.891139030456543","-5.1836042404174805","-2.1428756713867188"
"20:11:33 461731","0.06362533871561027","-0.2301034927368164","0.07670116424560547","-0.0692434310913086","","","",""
"20:11:34 177717","","","","","93.93666982923241","-4.106180191040039","-7.553936004638672","-4.473701477050781"
"20:11:34 286630","0.014420512570723076","-0.09907245635986328","0.045806884765625","0.05006885528564453","","","",""
"20:11:35 201637","","","","","96.72318225010258","-4.298919677734375","-7.529993057250977","-4.641301155090332"
"20:11:35 415434","0.000494758209242718","0.0170440673828125","-0.012783050537109375","0.0063915252685546875","","","",""
"20:11:36 225344","","","","","94.34128931773466","-4.131320953369141","-7.516824722290039","-4.557501792907715"
"20:11:36 419246","0.0016035287380873342","-0.02982807159423828","0.024501800537109375","-0.010652542114257812","","","",""
