"|","|__acc","|__gyro"
"01:19:04 489555","101.85194589590719",""
"01:19:04 913116","","1955.2159809847308"
"01:19:05 339162","77.85368402822769",""
"01:19:05 954806","","51246.49629006228"
"01:19:06 906063","80.1096255061002",""
"01:28:41 234671","","8.567071442836095"
"01:28:41 993868","84.13520620316103",""
"01:28:42 052742","","5.038398179226533"
"01:28:42 916662","91.9815304226513",""
"01:28:42 960686","","675.9100324201663"
"01:28:43 967455","130.84696640160837",""
"01:28:44 015325","","3496.544099352128"
"01:28:44 804428","","5625.131759258785"
"01:28:44 847351","123.11352764212097",""
"01:28:45 864270","42.17963279229025",""
"01:28:45 865266","","101401.26115388569"
"01:28:46 943066","111.28978946291772",""
"01:28:47 107626","","35.02864420145579"
"01:28:47 851170","129.66316824682417",""
"01:28:48 014288","","1300.405742997501"
"01:28:48 856886","125.42236583341855",""
"01:28:48 921068","","4825.57054984351"
"01:28:49 736901","115.61084757244498",""
"01:28:49 786731","","207.43340026799706"
"01:28:50 894572","97.1367470662135",""
"01:28:50 950683","","505.27527552532047"
"01:28:51 664003","","1069.5911166338055"
"01:28:51 714868","102.57107542874473",""
"01:28:52 830486","","52.545221680488794"
"01:28:52 920247","149.761422625651",""
"01:28:53 741352","105.70452117053173",""
"01:28:53 815156","","662.066349978124"
"01:28:54 731711","224.56850110845153",""
"01:28:55 157707","","622.7821011857022"
"01:28:55 705573","116.34612448127973",""
"01:28:56 153554","","541.8949077863235"
"01:28:56 752118","96.63702721642585",""
"01:28:57 120623","","19.13129880595534"
"01:28:57 818871","120.45239511842556",""
"01:28:58 062491","","13.721206413310028"
"01:28:58 614005","126.8328401363924",""
"01:28:58 903186","","23.203851445528016"
"01:28:59 701908","","29526.875426405935"
"01:29:00 163420","120.67368871119834",""
"01:29:00 656609","","221310.98571079219"
"01:29:00 994704","86.80816865882753",""
"01:29:01 689847","93.04689331834015",""
"01:29:02 136785","","1162.094860507118"
"01:29:02 724179","95.55585410070216",""
"01:29:02 895719","","3.6768069796526106"
"01:29:03 847420","90.50659051903222",""
"01:29:04 233707","","4.100226040581219"
"01:29:04 678055","85.85854126274899",""
"01:29:04 927388","","28654.271530712052"
"01:29:05 684296","106.80625034653804",""
"01:29:06 099200","","681.4994321256036"
"01:29:06 670369","116.42393480806186",""
"01:29:06 943864","","276.2424960434955"
"01:29:07 572710","","8.777104591747047"
"01:29:07 777990","75.4603190568896",""
"01:29:08 515275","","177.35576435595158"
"01:29:08 796700","98.61900981150848",""
"01:33:22 285868","91.26325351035484",""
"01:33:22 288463","","720.6833668900235"
"01:33:22 354297","99.92246052122482",""
"01:33:22 722481","","333.0382230428522"
"01:33:23 632224","102.85370136020447",""
"01:33:23 840905","","2.9773206077124996"
"01:33:24 136749","97.18863666121797",""
"01:33:24 420208","","5785.459398052155"
"01:33:25 032635","97.83993772385838",""
"01:33:25 269742","","2069.2160046255894"
"01:33:26 233968","95.69904902718736",""
"01:33:26 615900","","10.921626257991193"
"01:33:26 842566","95.73649506282527",""
"01:33:27 309033","","5.004386235634229"
"01:33:28 043315","193.64776017916301",""
"01:33:28 438558","","78385.7398362763"
"01:33:29 319073","89.40645831381153",""
"01:33:29 875706","","3765.479829149049"
"01:33:30 308116","123.58958736264412",""
"01:33:30 758726","","98.43021330163992"
"01:33:30 991101","95.61291365361649",""
"01:33:31 335982","","11994.251974785875"
"01:33:31 899477","112.71820148719053",""
"01:33:32 112433","","51247.47409503844"
"01:33:32 874417","64.6828101970641",""
"01:33:33 324300","","36526.77148701304"
"01:33:33 905649","92.69042034029644",""
"01:33:34 077191","","52.47632261029594"
"01:33:34 919711","131.48429202892567",""
"01:33:35 135309","","86890.91032325808"
"01:33:36 001885","94.71015826646362",""
"01:33:36 600621","","1035.0368450249389"
"01:33:37 031942","115.86180004503967",""
"01:33:37 475788","","262.34474052780024"
"01:33:37 862381","112.13333261405751",""
"01:33:38 293545","","1170.8248184208496"
"01:33:38 866533","205.69345541837356",""
"01:33:39 100925","","4133.450930929871"
"01:33:39 859817","116.79935430268051",""
"01:33:40 851703","","10.875150179713273"
"01:33:41 291137","69.42552310659266",""
"01:33:41 694087","","625.0674827765188"
"01:33:41 972752","102.34172242045042",""
"01:33:42 214265","","301.52116181328256"
"01:33:43 054512","98.86281229078395",""
"01:33:43 248223","","495.7830561502069"
"01:33:43 997414","104.34815024220006",""
"01:33:44 589232","","2167.266951852016"
"01:33:44 768588","92.97844900443033",""
"01:33:45 129622","","1.1701569066508455"
"01:33:45 714027","101.36358293548346",""
"01:33:46 135935","","328.00858669261015"
"01:33:46 710554","97.51454052538338",""
"01:33:47 097860","","12.361260434008727"
"01:33:47 717751","140.94002035933772",""
"01:33:47 898268","","13068.900961822954"
"01:33:48 686823","66.53797674678299",""
"01:33:48 916148","","3.885070943981191"
"01:33:49 699704","96.1585836148779",""
"01:33:50 148504","","1945.2329744260242"
"01:33:50 651621","99.5434591157582",""
"01:33:51 104448","","444.9945868072764"
"01:33:51 714159","104.17740553812655",""
"01:33:51 893750","","104.59805103016424"
"01:33:52 703024","95.59495824888018",""
"01:33:53 106924","","120.39693539117525"
"01:33:53 939941","97.57820611814532",""
"01:33:54 372978","","11.620861495104691"
"01:33:55 090445","98.42681292286761",""
"01:33:55 537891","","1.917829203907786"
"01:33:55 958949","94.84623058109082",""
"01:33:56 388762","","9.544259484982831"
"01:33:56 823736","95.70032661516052",""
"01:33:57 377367","","2.9061655159930524"
"01:33:57 841795","96.79967109543486",""
"01:33:58 211149","","4.544987814882916"
"01:33:58 657154","69.58820946639935",""
"01:33:58 898476","","1896.4266194750835"
"01:33:59 523302","99.92878414712413",""
"01:33:59 965686","","6.748216556502484"
"01:34:00 518380","94.60162774259697",""
"01:34:01 127276","","1463.4445259446593"
"01:34:01 489015","130.50114049111744",""
"01:34:01 750714","","643.1475430368173"
"01:34:02 526799","104.56221879217446",""
"01:34:02 723319","","284.6569317839767"
"01:34:03 655423","99.20708289435606",""
"01:34:04 091780","","15828.917937020124"
"01:34:04 541469","87.70169152415201",""
"01:34:04 943735","","76.32161196779816"
"01:34:05 466852","96.04290933486573",""
"01:34:06 116084","","431.5360978653425"
"01:34:06 571865","94.82325692885297",""
"01:34:06 965193","","6.003883862411385"
"01:34:07 642553","94.5878012421399",""
"01:34:08 071821","","9.0781322796829E-06"
"01:34:08 505638","166.99280841717064",""
"01:34:08 882747","","7246.059676399178"
"01:34:09 502563","154.93275100616393",""
"01:34:09 733702","","759.2120150245582"
"01:34:10 487191","102.56593470470125",""
